"Subject","event_no","instruction","valence","SCR_mean_instruction","SCR_mean_stimulus","log_SCR_mean_instruction","log_SCR_mean_stimulus"
50,3,"Downregulate","Neutral",1.01601206502466,0.998686177036339,0.0158852241100549,-0.00131468678574046
50,3,"Downregulate","Negative",0.997129104295225,0.986764370124923,-0.00287502463021851,-0.0133240014594113
50,3,"Upregulate","Neutral",1.01368673517744,1.02324050643639,0.0135939177700837,0.0229745584938221
50,3,"Upregulate","Negative",0.973807101135085,0.955797443914286,-0.0265420430696489,-0.0452092671309565
50,4,"Downregulate","Neutral",0.989906763580158,0.981370705616276,-0.0101445184904078,-0.0188050053578653
50,4,"Downregulate","Negative",1.04403561369712,1.01231651678682,0.0430936016153303,0.0122412855882647
50,4,"Upregulate","Neutral",0.995905913401852,1.0125564946844,-0.00410249031555846,0.0124783156611126
50,4,"Upregulate","Negative",0.996990742653528,0.992816008846699,-0.00301379426548433,-0.0072099202754324
50,5,"Downregulate","Neutral",0.997329441555885,0.994650569501217,-0.00267413074676315,-0.00536378993487758
50,5,"Downregulate","Negative",1.01910697276626,1.00964127607985,0.0189267269115911,0.00959509556641626
50,5,"Upregulate","Neutral",0.996297300850009,0.991652359823415,-0.0037095711089304,-0.00838267684341316
50,5,"Upregulate","Negative",0.99268644805518,0.990450262151842,-0.00734042708115562,-0.00959562899395077
50,6,"Downregulate","Neutral",1.04453512512096,1.03972584952988,0.0435719300952546,0.0389570721817857
50,6,"Downregulate","Negative",0.998159453862556,1.03203356357753,-0.00184224202371023,0.0315311893769589
50,6,"Upregulate","Neutral",1.00277892569746,1.05006837427024,0.00277507162191464,0.04885528040193
50,6,"Upregulate","Negative",0.995038779650783,0.999167950442551,-0.00497356805963093,-0.000832395902812779
50,7,"Downregulate","Neutral",0.999246906939215,0.991910442188,-0.0007533767778169,-0.00812245582517311
50,7,"Downregulate","Negative",0.997934818267995,0.994035006951002,-0.00206731716033623,-0.00598285468514578
50,7,"Upregulate","Neutral",1.02382399806399,0.993724004915832,0.023544634954156,-0.00629577193100061
50,7,"Upregulate","Negative",1.05865329617858,1.01157876143813,0.0569976250827887,0.0115122405736277
50,8,"Downregulate","Neutral",0.998239724210884,1.01730434851499,-0.00176182689505916,0.0171563333734438
50,8,"Downregulate","Negative",0.997579376092399,0.993325661934905,-0.00242355835406901,-0.00669671106494216
50,8,"Upregulate","Neutral",1.00159626324416,0.991074495855786,0.0015949905701601,-0.00896557506999948
