"time_s","down_neg","down_neu","up_neg","up_neu","down_neg_rel","down_neu_rel","up_neg_rel","up_neu_rel"
5.1,0.942046646588435,0.955226114327778,0.96320074729156,0.95165479808305,-4.89290678889479,-3.82499886285978,-3.41457632290318,-4.00077673303832
5.2,0.941290846430013,0.957676254856637,0.963777550804578,0.949558763333506,-4.91388359825929,-3.6441202795897,-3.37522375574851,-4.11648630387641
5.3,0.941785263573591,0.959287944898864,0.9642212013528,0.948470982811855,-4.87907214349434,-3.53076226350493,-3.31753391607441,-4.24256465338764
5.4,0.943122541622787,0.962357580770925,0.969224849769841,0.948954750825026,-4.78885347432481,-3.25980652706071,-2.93032803736448,-4.16058951353952
5.5,0.946647411381371,0.964102569632069,0.966659606320166,0.948750761002678,-4.54395637606036,-3.13589539356578,-3.09402699264375,-4.18614610669223
5.6,0.949126633793965,0.966753493582392,0.963354392893164,0.949914138110859,-4.34257138869191,-2.93823286715447,-3.28794926455668,-4.11615070671458
5.7,0.951419680786241,0.965997222765102,0.961250170990788,0.949842560519065,-4.17498930582902,-3.06950740956975,-3.46333552139721,-4.10645227402335
5.8,0.953187405773129,0.967081040288308,0.962991429074999,0.950327174087689,-4.05258337223977,-2.98954227897497,-3.33145117841381,-4.05228026103331
5.9,0.951031008424462,0.969061262328145,0.967927701540473,0.955788321775952,-4.19893232025216,-2.8475462561881,-2.92791407713824,-3.63060938607185
6,0.953196971505047,0.971664224237891,0.967124522846398,0.959209275210537,-4.02102928700965,-2.6590888574357,-2.97804233154625,-3.36932152766213
6.1,0.955435457392774,0.974900419529235,0.965340584971238,0.958128874820472,-3.84680299407968,-2.51184153596158,-3.11699880210847,-3.44698818526657
