"Subject","event_no","Stimulus","EMG_zyg_mean"
29,2,"Angry",-0.000433663355919985
29,2,"Happy",0.00331937718535081
29,2,"Neutral",-0.00348698580506184
29,3,"Angry",0.00521018574383295
29,3,"Happy",0.00516003630946169
29,3,"Neutral",-0.00471081946103692
29,4,"Angry",-0.0192618223397374
29,4,"Happy",0.0322775412497798
29,4,"Neutral",0.0696101621206937
30,1,"Angry",-0.00775373704044762
30,1,"Happy",-0.0221123703006911
30,1,"Neutral",-0.289296552678806
30,2,"Angry",-0.00323623182915101
30,2,"Happy",-0.0087975883372953
30,2,"Neutral",0.0297093734914997
30,3,"Angry",-0.00142667549805291
30,3,"Happy",0.0100503243847273
30,3,"Neutral",-0.00378987365920953
30,4,"Angry",0.00799687728634086
30,4,"Happy",-0.000622747440544519
30,4,"Neutral",0.00639051529566032
31,1,"Angry",-0.00308019166202447
31,1,"Happy",-0.00861968010415742
31,1,"Neutral",-0.912394223262688
31,2,"Angry",0.00270266154287815
31,2,"Happy",0.0441261600029748
31,2,"Neutral",0.00140827770228758
31,3,"Angry",-0.011702372916821
31,3,"Happy",0.0236728825679734
31,3,"Neutral",0.00753017591569348
31,4,"Angry",0.00353145150546145
31,4,"Happy",0.00368653627183915
31,4,"Neutral",0.011914093828442
32,1,"Angry",-0.0281496644797315
32,1,"Happy",0.30688670846339
32,1,"Neutral",-0.816357136827843
32,2,"Angry",0.0185991493425347
32,2,"Happy",0.00205480102698077
32,2,"Neutral",-0.949152129666486
32,3,"Angry",-0.0181668110311604
32,3,"Happy",-0.152083880162964
32,3,"Neutral",0.0322062045132604
32,4,"Angry",-0.0202183396739206
32,4,"Happy",-0.0146978553732427
32,4,"Neutral",-0.173280808669083
33,1,"Angry",0.0119672553459257
33,1,"Happy",-0.0240677818431173
33,1,"Neutral",-0.235865769684791
33,2,"Angry",-0.0374832548715717
33,2,"Happy",-0.0136870252483238
33,2,"Neutral",-0.194117345299536
33,3,"Angry",0.16779948225038
33,3,"Happy",0.0194167750594739
33,3,"Neutral",0.008320345651494
33,4,"Angry",-0.0247793788025822
33,4,"Happy",-0.0803694397641663
33,4,"Neutral",0.00686349053478716
34,1,"Angry",-0.0290889711718926
34,1,"Happy",0.763061851512271
34,1,"Neutral",-0.300640527038171
34,2,"Angry",-2.59993916582582
34,2,"Happy",-0.0667204821616246
34,2,"Neutral",-0.0102421053349012
34,3,"Angry",0.0234557727298697
34,3,"Happy",0.418240777097985
34,3,"Neutral",-0.0412927009456964
34,4,"Angry",-1.66505573562442
34,4,"Happy",-0.132371777696201
34,4,"Neutral",-1.21308376448063
35,1,"Angry",4.56925480180286e-05
35,1,"Happy",0.0233562716204402
35,1,"Neutral",-0.108236354335912
35,2,"Angry",-0.0130031039490884
35,2,"Happy",0.107724588684226
35,2,"Neutral",0.00135535951992551
35,3,"Angry",-0.34283199901826
35,3,"Happy",0.295123973654583
35,3,"Neutral",0.000718812885458608
35,4,"Angry",0.010575770299308
35,4,"Happy",-0.013503915324545
35,4,"Neutral",-0.148365249275335
37,1,"Angry",0.117758124993936
37,1,"Happy",1.2461485837983
37,1,"Neutral",-0.657141148022523
37,2,"Angry",0.300552429935376
37,2,"Happy",0.309442069360879
37,2,"Neutral",0.708547237071198
37,3,"Angry",-0.40258609115972
37,3,"Happy",0.714536056845251
37,3,"Neutral",0.00118700065275837
37,4,"Angry",0.0922625255356556
37,4,"Happy",0.808231142002459
37,4,"Neutral",0.066881848651069
38,1,"Angry",-0.0872464790230073
38,1,"Happy",0.0277967156932958
38,1,"Neutral",-0.407326354420643
38,2,"Angry",0.00636122464771478
38,2,"Happy",0.0144952345483751
38,2,"Neutral",0.0185959818353361
38,3,"Angry",0.00265608153509869
38,3,"Happy",-0.0218925648199763
38,3,"Neutral",0.0262250673409529
38,4,"Angry",0.506885811380121
38,4,"Happy",0.00678411227749159
38,4,"Neutral",0.0200864049910042
39,1,"Angry",-0.0111395569419446
39,1,"Happy",0.019641347719825
39,1,"Neutral",-0.364818874242289
39,2,"Angry",-0.0238015190176613
39,2,"Happy",-0.011754855866117
39,2,"Neutral",0.0162779997703764
39,3,"Angry",-0.00180473096006719
39,3,"Happy",-0.01279145189078
39,3,"Neutral",-0.00992926790205084
39,4,"Angry",0.0210846174859943
39,4,"Happy",0.0310658546624133
39,4,"Neutral",0.00704505025453507
40,1,"Angry",0.0267691070610355
40,1,"Happy",0.253269104335925
40,1,"Neutral",0.0670098945302194
40,2,"Angry",0.221166896396995
40,2,"Happy",-0.206658845784246
40,2,"Neutral",0.328957442555448
40,3,"Angry",0.0311519367891467
40,3,"Happy",0.185589740831066
40,3,"Neutral",0.616556266715112
40,4,"Angry",0.00343391948466665
40,4,"Happy",0.0132098028552492
40,4,"Neutral",-0.0131311875895381
41,1,"Angry",-0.000458909399561275
41,1,"Happy",0.632733055111039
41,1,"Neutral",-0.642233294830673
41,2,"Angry",-0.122064974404611
41,2,"Happy",0.566715297851309
41,2,"Neutral",0.121541876590119
41,3,"Angry",-0.299007492034147
41,3,"Happy",0.526114071719728
41,3,"Neutral",-0.14033637015849
41,4,"Angry",-0.242775887687877
41,4,"Happy",-0.0201218761235589
41,4,"Neutral",-0.00233311695555837
42,1,"Angry",-0.0834467437827119
42,1,"Happy",0.455174768249032
42,1,"Neutral",-1.76061469399855
42,2,"Angry",0.0211133038661166
42,2,"Happy",0.136946051929421
42,2,"Neutral",-1.79754584860704
42,3,"Angry",-0.221836022738027
42,3,"Happy",-0.204731088224498
42,3,"Neutral",-0.203121153988518
42,4,"Angry",0.111713661818517
42,4,"Happy",-0.104799879043852
42,4,"Neutral",0.238341313246584
